team,n_players,skewness,kurtosis,cv,S_pr,Neff_frac_pr,gini_pr,fragility
Celta Vigo,31,1.338,1.357,0.738,0.929551531312099,0.6474510994439809,0.3868869082910684,0.1865
Las Palmas,29,1.306,1.62,0.829,0.9074517507126167,0.5925821341820136,0.4347202792240555,0.3614
Granada,40,1.255,0.405,0.958,0.8910153948102666,0.5216927962551834,0.4939914560430048,0.4976
Villarreal,32,0.939,0.624,0.639,0.942689738182698,0.7097492893208381,0.3499441260724186,0.3082
Valencia,30,0.924,0.406,0.78,0.9118882638768246,0.6215351395742357,0.4266652593492669,0.3781
Cádiz,33,0.872,0.304,0.749,0.921073425100428,0.6406582012040087,0.4113955941768812,0.3322
Real Betis,35,0.822,0.554,0.669,0.9370712331430116,0.6907213090318516,0.3690086469734113,0.3295
Girona,25,0.784,-0.39,0.79,0.9038298336534446,0.6156043665282255,0.4360304199360976,0.3256
Getafe,32,0.751,-0.364,0.753,0.9186675062103916,0.6379188969685846,0.416248803420258,0.3834
Barcelona,29,0.75,-0.032,0.68,0.9309562578154666,0.6840874692045731,0.3754149130015599,0.2502
Deportivo Alavés,29,0.694,-0.508,0.744,0.9164529386541508,0.6437051898062487,0.4125603186743993,0.4127
Atlético Madrid,27,0.687,-0.434,0.691,0.92705977108896,0.6765231452295353,0.3863658660183076,0.3323
Real Sociedad,31,0.628,-0.85,0.724,0.923046612099618,0.6561864163882308,0.4041846111077042,0.3399
Almería,35,0.588,-0.789,0.701,0.9301555628729664,0.6707365382307433,0.3924424937440308,0.3471
Sevilla,35,0.523,-1.09,0.73,0.9233450985514716,0.6523707124716052,0.4091598893933348,0.2971
Rayo Vallecano,26,0.428,-0.776,0.629,0.9358740498253666,0.716835586917757,0.356896845074473,0.2806
Real Madrid,27,0.321,-0.789,0.62,0.9368979671365916,0.7222643758221073,0.3521262691037062,0.3004
Athletic Club,27,0.054,-1.391,0.578,0.9439508398039748,0.7498374038866962,0.3314073652627473,0.2343
Osasuna,29,0.042,-1.421,0.652,0.927802704109549,0.7016363003337223,0.3721479241304568,0.4062
Mallorca,25,-0.182,-1.206,0.506,0.9545019911604022,0.7961366389690825,0.2896498856855818,0.2618
