team,team_id,n_nodes,S_pr,Neff_pr,Neff_frac_pr,gini_pr,S_bt,Neff_bt,gini_bt,total_points,mean_sf,r_sf_points,fragility
Real Betis,218,35,0.9370712331430116,24.175245816114806,0.6907213090318516,0.3690086469734113,0.8810355098633623,18.268347420541474,0.4968677803175012,60,0.1786473427971712,-0.1480562294489751,0.3295
Almería,403,35,0.9301555628729663,23.475778838076018,0.6707365382307433,0.3924424937440308,0.8713943939900066,15.723354181193438,0.5077168586304185,21,0.2026961402120097,0.1195706307790806,0.3471
Sevilla,213,35,0.9233450985514717,22.83297493650618,0.6523707124716052,0.40915988939333486,0.8671797698210125,16.02644558558413,0.5249593036352467,42,0.1835855052881513,0.3292082131149733,0.2971
Villarreal,222,32,0.942689738182698,22.71197725826682,0.7097492893208381,0.3499441260724186,0.8239696847009772,12.959626388101512,0.5893144945055897,51,0.1631569955742826,0.1896344503425875,0.3082
Cádiz,552,33,0.921073425100428,21.141720639732288,0.6406582012040087,0.4113955941768812,0.8869090046345661,17.119402954069702,0.4818898689162318,32,0.2413169597265476,0.1186350185520176,0.3322
Granada,1049,40,0.8910153948102666,20.867711850207336,0.5216927962551834,0.4939914560430048,0.9445153674054252,27.42254078395376,0.3466258760332333,19,0.2121842726767362,0.1944321159604799,0.4976
Getafe,216,32,0.9186675062103915,20.413404702994708,0.6379188969685846,0.41624880342025805,0.8547004840941389,14.900702660422464,0.5338148988525433,43,0.2485416699421554,0.085018853245965,0.3834
Osasuna,422,29,0.927802704109549,20.347452709677945,0.7016363003337223,0.37214792413045683,0.7925809261792556,8.095491344062985,0.5973485707934308,45,0.2168231821800668,0.1114848074538766,0.4062
Real Sociedad,210,31,0.9230466120996181,20.341778908035156,0.6561864163882308,0.4041846111077042,0.8592357943328028,14.670998873910149,0.5358926413548123,58,0.1764658106432082,0.2029352392877545,0.3399
Athletic Club,215,27,0.9439508398039748,20.245609904940796,0.7498374038866962,0.3314073652627473,0.8173807783496947,7.258931117393374,0.5332277394900933,72,0.1982230479743724,0.3961159526068595,0.2343
Celta Vigo,209,31,0.929551531312099,20.07098408276341,0.6474510994439809,0.3868869082910684,0.8219004335569395,11.097163155582583,0.5738345790741869,42,0.1973717192535325,-0.1582289637593796,0.1865
Mallorca,1043,25,0.9545019911604022,19.903415974227062,0.7961366389690825,0.28964988568558186,0.8923626829218017,12.539434520541871,0.43042145352766215,42,0.2241190779891731,0.2557406952141928,0.2618
Barcelona,217,29,0.9309562578154666,19.83853660693262,0.6840874692045731,0.37541491300155994,0.8651342777473787,12.414754034730922,0.4910426919324024,82,0.1219032252676919,-0.2034193275132017,0.2502
Real Madrid,220,27,0.9368979671365917,19.501138147196897,0.7222643758221073,0.35212626910370626,0.9083788665862905,10.339397758379356,0.3950985384823579,97,0.111216277037819,-0.0212440883398818,0.3004
Deportivo Alavés,206,29,0.9164529386541507,18.66745050438121,0.6437051898062487,0.4125603186743993,0.8761622969803006,12.16763388489411,0.46009284130005607,45,0.2430907204343699,0.44216004758659,0.4127
Valencia,207,30,0.9118882638768246,18.64605418722707,0.6215351395742357,0.4266652593492669,0.8182573392924632,10.647180335396891,0.5801616850757758,49,0.2197168370321474,0.0398733092059801,0.3781
Rayo Vallecano,360,26,0.9358740498253666,18.637725259861682,0.716835586917757,0.356896845074473,0.820068083351805,8.079148501075737,0.5488659670787838,40,0.2116969146767264,0.285644679434998,0.2806
Atlético Madrid,212,27,0.9270597710889601,18.266124921197452,0.6765231452295353,0.38636586601830764,0.8436926157774852,11.774678008116611,0.5306458653473553,74,0.1545228673062138,-0.042617500291789,0.3323
Las Palmas,208,29,0.9074517507126169,17.184881891278394,0.5925821341820136,0.4347202792240555,0.8826570355608607,13.274716509944609,0.47068153135170965,42,0.1473622177452789,-0.005622740641699,0.3614
Girona,211,25,0.9038298336534446,15.390109163205638,0.6156043665282255,0.43603041993609765,0.8699026834879456,12.69178714696418,0.47847704785146933,81,0.1391651427853015,0.1931450549791435,0.3256
