team,team_id,fragility,n_players
Granada,1049,0.4976,40
Deportivo Alavés,206,0.4127,29
Osasuna,422,0.4062,29
Getafe,216,0.3834,32
Valencia,207,0.3781,30
Las Palmas,208,0.3614,29
Almería,403,0.3471,35
Real Sociedad,210,0.3399,31
Atlético Madrid,212,0.3323,27
Cádiz,552,0.3322,33
Real Betis,218,0.3295,35
Girona,211,0.3256,25
Villarreal,222,0.3082,32
Real Madrid,220,0.3004,27
Sevilla,213,0.2971,35
Rayo Vallecano,360,0.2806,26
Mallorca,1043,0.2618,25
Barcelona,217,0.2502,29
Athletic Club,215,0.2343,27
Celta Vigo,209,0.1865,31
