team,team_id,fragility,n_players
Granada,1049,0.5178,40
Deportivo Alavés,206,0.4578,29
Osasuna,422,0.418,29
Valencia,207,0.3818,30
Cádiz,552,0.3795,33
Getafe,216,0.3791,32
Real Sociedad,210,0.3595,31
Real Betis,218,0.3491,35
Real Madrid,220,0.3479,27
Girona,211,0.3448,25
Atlético Madrid,212,0.3441,27
Las Palmas,208,0.3301,29
Villarreal,222,0.3241,32
Almería,403,0.3232,35
Rayo Vallecano,360,0.2882,26
Barcelona,217,0.2831,29
Mallorca,1043,0.2575,25
Sevilla,213,0.2523,35
Athletic Club,215,0.2496,27
Celta Vigo,209,0.2221,31
