team,total_points,n_matches,fragility_pagerank,fragility_betweenness,fragility_diameter,fragility_LCC,sf_mean
Real Madrid,97,38,0.3004,0.3479,0.0564,0.029,0.111216277037819
Barcelona,82,38,0.2502,0.2831,-0.7487,0.0114,0.12190322526769187
Girona,81,38,0.3256,0.3448,-0.2162,0.0359,0.1391651427853015
Atlético Madrid,74,38,0.3323,0.3441,-0.4264,0.0446,0.15452286730621378
Athletic Club,72,38,0.2343,0.2496,-0.1243,0.0157,0.19822304797437243
Real Betis,60,38,0.3295,0.3491,-0.0267,0.0323,0.17864734279717123
Real Sociedad,58,38,0.3399,0.3595,-0.0594,0.0334,0.17646581064320824
Villarreal,51,38,0.3082,0.3241,-0.5588,0.0271,0.1631569955742826
Valencia,49,38,0.3781,0.3818,-0.2342,0.0448,0.2197168370321474
Osasuna,45,38,0.4062,0.418,0.568,0.0663,0.21682318218006677
Deportivo Alavés,45,38,0.4127,0.4578,0.086,0.057,0.24309072043436988
Getafe,43,38,0.3834,0.3791,-0.3818,0.0385,0.24854166994215537
Mallorca,42,38,0.2618,0.2575,-0.0492,0.0251,0.2241190779891731
Celta Vigo,42,38,0.1865,0.2221,-0.2762,0.0044,0.19737171925353245
Las Palmas,42,38,0.3614,0.3301,-0.232,0.0392,0.14736221774527886
Sevilla,42,38,0.2971,0.2523,-0.4261,0.0179,0.1835855052881513
Rayo Vallecano,40,38,0.2806,0.2882,-0.3089,0.03,0.21169691467672647
Cádiz,32,38,0.3322,0.3795,-0.5924,0.029,0.24131695972654763
Almería,21,38,0.3471,0.3232,-0.785,0.0289,0.20269614021200974
Granada,19,38,0.4976,0.5178,-0.8,0.0813,0.2121842726767362
