,Odds Ratio,OR 95% Low,OR 95% High,p-value
Intercept,0.5613,0.4128,0.7633,0.0002
C(position)[T.DEF],1.0499,0.8012,1.3758,0.7242
C(position)[T.MID],0.9041,0.6953,1.1757,0.452
C(position)[T.FWD],1.0537,0.7975,1.3923,0.7128
pagerank_pct_z,1.0488,0.7553,1.4562,0.7762
pagerank_pct_z:C(position)[T.DEF],0.8246,0.5868,1.1586,0.2663
pagerank_pct_z:C(position)[T.MID],1.0541,0.7459,1.4896,0.7652
pagerank_pct_z:C(position)[T.FWD],1.0768,0.7549,1.5357,0.6831
minutes_played_z,1.0123,0.9724,1.0539,0.5508
team_sf_z,0.7214,0.6129,0.849,0.0001
