team,team_id,match_id,outcome,won,N,S,N_eff,N_eff_frac,team_sf
Deportivo Alavés,206,3894664,win,1,15,0.9545807181621447,12.125886780067557,0.8083924520045038,0.24740932642487046
Deportivo Alavés,206,3894825,lost,0,16,0.9376309169064291,11.690686566282228,0.7306679103926392,0.25558659217877094
Deportivo Alavés,206,3894839,win,1,15,0.9781271743139286,13.372477880556865,0.8914985253704576,0.29422382671480146
Deportivo Alavés,206,3894905,draw,0,16,0.9569269763605559,13.172782123599701,0.8232988827249813,0.2722772277227723
Deportivo Alavés,206,3894751,lost,0,16,0.9468911195316507,12.432116609930022,0.7770072881206264,0.23716012084592145
Deportivo Alavés,206,3894533,lost,0,16,0.951586664232863,12.584098177387682,0.7865061360867301,0.21754807692307693
Deportivo Alavés,206,3894689,lost,0,16,0.960002131597902,12.922160457046562,0.8076350285654101,0.1503957783641161
Deportivo Alavés,206,3894748,win,1,15,0.9548355237878966,12.244915692940816,0.8163277128627211,0.2737341772151899
Deportivo Alavés,206,3894585,lost,0,16,0.9643282195508868,13.306549021199183,0.831659313824949,0.24404761904761904
Deportivo Alavés,206,3894798,lost,0,16,0.9654810815918901,13.574897979449409,0.848431123715588,0.2536231884057971
Deportivo Alavés,206,3894715,draw,0,16,0.9577561468449147,12.962844150150628,0.8101777593844143,0.23743016759776536
Deportivo Alavés,206,3894784,draw,0,16,0.9192191419923086,11.28463701886249,0.7052898136789056,0.21948608137044967
Deportivo Alavés,206,3894874,draw,0,16,0.9627712308914382,13.29160978893076,0.8307256118081725,0.17877906976744187
Deportivo Alavés,206,3894635,lost,0,16,0.9611167526384405,13.234309265023406,0.8271443290639628,0.18161925601750548
Deportivo Alavés,206,3894760,draw,0,15,0.9466110142720422,11.913234967112004,0.7942156644741336,0.2256857855361596
Deportivo Alavés,206,3894814,lost,0,16,0.9581166749171114,13.17686947814229,0.8235543423838931,0.22694174757281554
Deportivo Alavés,206,3894737,win,1,15,0.9272757476695456,10.962365583453948,0.7308243722302632,0.22739361702127658
Deportivo Alavés,206,3894649,lost,0,16,0.9494213929255887,12.512095113013148,0.7820059445633217,0.28044871794871795
Deportivo Alavés,206,3894562,draw,0,15,0.9435547461269695,11.786130620462158,0.7857420413641438,0.25857142857142856
Deportivo Alavés,206,3894863,win,1,16,0.9530529135917339,12.823250496679888,0.801453156042493,0.2949438202247191
Deportivo Alavés,206,3894557,lost,0,16,0.9412885765334816,12.224517062089102,0.7640323163805689,0.2345679012345679
Deportivo Alavés,206,3894598,win,1,16,0.9595540765510061,13.036682428051044,0.8147926517531903,0.166
Deportivo Alavés,206,3894772,draw,0,15,0.9401739768093416,11.766606178185098,0.7844404118790066,0.2801724137931034
Deportivo Alavés,206,3894605,lost,0,16,0.9727316704107432,13.927337887904518,0.8704586179940323,0.22842639593908629
Deportivo Alavés,206,3894858,win,1,16,0.942195878896932,12.410527167804432,0.775657947987777,0.2728658536585366
Deportivo Alavés,206,3894669,draw,0,16,0.9364930038102833,11.993023361361079,0.7495639600850674,0.25903614457831325
Deportivo Alavés,206,3894547,win,1,15,0.9405849827159071,11.410661425389836,0.7607107616926557,0.28807947019867547
Deportivo Alavés,206,3894720,win,1,15,0.9330794801257862,11.25829717207241,0.7505531448048274,0.3101694915254237
Deportivo Alavés,206,3894684,lost,0,16,0.9758087863117073,14.19705167868022,0.8873157299175137,0.27361111111111114
Deportivo Alavés,206,3894615,lost,0,16,0.9540293653817725,12.914053586203597,0.8071283491377248,0.22857142857142856
Deportivo Alavés,206,3894648,win,1,14,0.9433984007451507,10.900322129568437,0.7785944378263169,0.23096446700507614
Deportivo Alavés,206,3894884,lost,0,16,0.9540926079061294,12.598123917183141,0.7873827448239463,0.22109826589595374
Deportivo Alavés,206,3894708,lost,0,16,0.9474994526630426,12.4359178485785,0.7772448655361562,0.18193717277486912
Deportivo Alavés,206,3894837,lost,0,16,0.9659259032759211,13.331190488017237,0.8331994055010773,0.21398305084745764
Deportivo Alavés,206,3894573,lost,0,16,0.9443390961635495,12.065235062283888,0.754077191392743,0.23143564356435645
Deportivo Alavés,206,3894628,draw,0,14,0.9534991409568447,11.529459289763746,0.8235328064116961,0.24915254237288137
Deportivo Alavés,206,3894894,win,1,15,0.9571593791622601,12.379020916020188,0.8252680610680125,0.3087248322147651
Deportivo Alavés,206,3894799,win,1,15,0.9783473230934175,13.577474884955727,0.9051649923303818,0.28134556574923547
