team,r_sf_points,total_points,n_nodes,n_edges,density,efficiency,clustering,avg_path_length,reciprocity,fragility_pagerank,fragility_betweenness
Barcelona,-0.2034193275132017,82,29,591,0.7278,0.8867,0.0806,1.2722,0.9374,0.2502,0.2831
Celta Vigo,-0.1582289637593796,42,31,672,0.7226,0.8935,0.0501,1.2785,0.9107,0.1865,0.2221
Real Betis,-0.1480562294489751,60,35,824,0.6924,0.8773,0.0618,1.3084,0.9102,0.3295,0.3491
Atlético Madrid,-0.042617500291789,74,27,502,0.7151,0.8775,0.0712,1.245,0.9442,0.3323,0.3441
Real Madrid,-0.0212440883398818,97,27,513,0.7308,0.8903,0.1044,1.2194,0.9318,0.3004,0.3479
Las Palmas,-0.005622740641699,42,29,596,0.734,0.8929,0.0338,1.266,0.9295,0.3614,0.3301
Valencia,0.0398733092059801,49,30,542,0.623,0.8402,0.0561,1.3816,0.9077,0.3781,0.3818
Getafe,0.085018853245965,43,32,591,0.5958,0.8182,0.0547,1.381,0.9171,0.3834,0.3791
Osasuna,0.1114848074538766,45,29,511,0.6293,0.8411,0.0988,1.3227,0.9119,0.4062,0.418
Cádiz,0.1186350185520176,32,33,664,0.6288,0.8497,0.0636,1.3807,0.8855,0.3322,0.3795
Almería,0.1195706307790806,21,35,767,0.6445,0.8538,0.0661,1.3613,0.9022,0.3471,0.3232
Villarreal,0.1896344503425875,51,32,727,0.7329,0.8901,0.0727,1.2671,0.9354,0.3082,0.3241
Girona,0.1931450549791435,81,25,398,0.6633,0.8567,0.0547,1.3433,0.9246,0.3256,0.3448
Granada,0.1944321159604799,19,40,769,0.4929,0.7718,0.0456,1.5237,0.8947,0.4976,0.5178
Real Sociedad,0.2029352392877545,58,31,640,0.6882,0.8728,0.0425,1.3183,0.9156,0.3399,0.3595
Mallorca,0.2557406952141928,42,25,500,0.8333,0.935,0.124,1.1667,0.956,0.2618,0.2575
Rayo Vallecano,0.285644679434998,40,26,491,0.7554,0.8969,0.0758,1.2062,0.9491,0.2806,0.2882
Sevilla,0.3292082131149733,42,35,784,0.6588,0.8577,0.0666,1.3487,0.9133,0.2971,0.2523
Athletic Club,0.3961159526068595,72,27,561,0.7991,0.9274,0.0627,1.2023,0.9305,0.2343,0.2496
Deportivo Alavés,0.44216004758659,45,29,498,0.6133,0.8407,0.0526,1.4039,0.8876,0.4127,0.4578
