team,r_sf_points,total_points,n_nodes,n_edges,density,efficiency,clustering,avg_path_length,reciprocity,fragility_pagerank,fragility_betweenness
Barcelona,-0.203,82,29,591,0.728,0.887,0.081,1.272,0.937,0.25,0.283
Celta Vigo,-0.158,42,31,672,0.723,0.894,0.05,1.278,0.911,0.186,0.222
Real Betis,-0.148,60,35,824,0.692,0.877,0.062,1.308,0.91,0.33,0.349
Atlético Madrid,-0.043,74,27,502,0.715,0.878,0.071,1.245,0.944,0.332,0.344
Real Madrid,-0.021,97,27,513,0.731,0.89,0.104,1.219,0.932,0.3,0.348
Las Palmas,-0.006,42,29,596,0.734,0.893,0.034,1.266,0.93,0.361,0.33
Valencia,0.04,49,30,542,0.623,0.84,0.056,1.382,0.908,0.378,0.382
Getafe,0.085,43,32,591,0.596,0.818,0.055,1.381,0.917,0.383,0.379
Osasuna,0.111,45,29,511,0.629,0.841,0.099,1.323,0.912,0.406,0.418
Cádiz,0.119,32,33,664,0.629,0.85,0.064,1.381,0.886,0.332,0.38
Almería,0.12,21,35,767,0.644,0.854,0.066,1.361,0.902,0.347,0.323
Villarreal,0.19,51,32,727,0.733,0.89,0.073,1.267,0.935,0.308,0.324
Girona,0.193,81,25,398,0.663,0.857,0.055,1.343,0.925,0.326,0.345
Granada,0.194,19,40,769,0.493,0.772,0.046,1.524,0.895,0.498,0.518
Real Sociedad,0.203,58,31,640,0.688,0.873,0.042,1.318,0.916,0.34,0.36
Mallorca,0.256,42,25,500,0.833,0.935,0.124,1.167,0.956,0.262,0.258
Rayo Vallecano,0.286,40,26,491,0.755,0.897,0.076,1.206,0.949,0.281,0.288
Sevilla,0.329,42,35,784,0.659,0.858,0.067,1.349,0.913,0.297,0.252
Athletic Club,0.396,72,27,561,0.799,0.927,0.063,1.202,0.93,0.234,0.25
Deportivo Alavés,0.442,45,29,498,0.613,0.841,0.053,1.404,0.888,0.413,0.458
