feature,pearson_r,pearson_p,linear_coef,lasso_coef,rf_importance
r_sf_points,-0.274,0.2421,-1.0478,-2.4518,0.2033
n_nodes,-0.59,0.0062,-43.3293,-8.2279,0.1314
n_edges,-0.469,0.0369,29.5077,-0.0,0.0948
density,0.444,0.0496,-231.3514,0.0,0.0648
efficiency,0.428,0.0599,185.63,0.0,0.0528
clustering,0.259,0.2706,0.3541,0.0,0.0721
avg_path_length,-0.497,0.0258,1.6619,-0.0,0.0437
reciprocity,0.471,0.0359,46.8884,0.0,0.2235
fragility_pagerank,-0.396,0.0835,-24.9436,-0.0,0.0742
fragility_betweenness,-0.252,0.2834,25.7967,-0.0,0.0395
