team,mean_sf,std_sf,total_points,r_sf_points,p_value,n_matches
Real Madrid,0.11121627703781904,0.01936832579441744,97,-0.021244088339881832,0.8992594838172691,38
Barcelona,0.12190322526769191,0.018321652992487954,82,-0.20341932751320171,0.2206020564186896,38
Girona,0.13916514278530154,0.029403028953225156,81,0.19314505497914353,0.24530328614915686,38
Atlético Madrid,0.15452286730621384,0.036261813944334774,74,-0.042617500291789095,0.7994558969396764,38
Athletic Club,0.19822304797437246,0.03919528331194023,72,0.3961159526068595,0.013820579216403062,38
Real Betis,0.17864734279717126,0.03983463866727636,60,-0.14805622944897515,0.3750278260074521,38
Real Sociedad,0.17646581064320824,0.03498908715619271,58,0.2029352392877545,0.22172602186550433,38
Villarreal,0.16315699557428262,0.037816800152674836,51,0.18963445034258758,0.25415326253404347,38
Valencia,0.21971683703214742,0.054383333943293304,49,0.03987330920598012,0.8121299401543169,38
Deportivo Alavés,0.24309072043436994,0.03861945840933588,45,0.44216004758659,0.005444789428076719,38
Osasuna,0.21682318218006683,0.050300410163635095,45,0.11148480745387662,0.5051789189581236,38
Getafe,0.24854166994215543,0.05221942744900902,43,0.08501885324596509,0.6118008275148166,38
Sevilla,0.18358550528815132,0.04413439649751937,42,0.32920821311497334,0.043566981697496884,38
Las Palmas,0.1473622177452789,0.035067188662994526,42,-0.005622740641699091,0.9732732582900356,38
Mallorca,0.22411907798917316,0.04485929526284482,42,0.25574069521419285,0.1212069520441339,38
Celta Vigo,0.19737171925353253,0.053773948276097744,42,-0.15822896375937967,0.342721725925352,38
Rayo Vallecano,0.21169691467672647,0.04547075252690967,40,0.28564467943499805,0.08213369291145547,38
Cádiz,0.24131695972654765,0.047842850242825065,32,0.11863501855201766,0.47807814733106163,38
Almería,0.20269614021200977,0.047385602906520705,21,0.11957063077908062,0.4745892361164329,38
Granada,0.21218427267673623,0.05153710669706461,19,0.19443211596047996,0.24211120918915213,38
